ID,Ycoordinate,Xcoordinate,elevation,slope,aspect,dryland_category,Continent,country,district,realm,biome,ecoregion,fao_ecozones
As42234,10.919123,104.790533,,,,,Asia,Cambodia,Takeo,IM,2,40202,13
As42185,11.190773,103.523001,,,,,Asia,Cambodia,Koh Kong,IM,1,40106,11
As35052,13.484113,102.546075,,,,,Asia,Cambodia,Banteay Meanchey,IM,1,40106,13
As35500,13.195915,106.926535,,,,,Asia,Cambodia,Ratanak Kiri,IM,2,40202,13
As42128,11.257331,104.391501,,,,,Asia,Cambodia,Kampong Speu,IM,1,40106,13
As35234,13.039957,105.733438,,,,,Asia,Cambodia,Kratie,IM,2,40210,13
As35308,12.922997,106.746722,,,,,Asia,Cambodia,Mondul Kiri,IM,2,40202,12
As42132,11.59312,103.989811,,,,,Asia,Cambodia,Kampong Speu,IM,1,40106,11
As35188,12.764603,105.557217,,,,,Asia,Cambodia,Kampong Thom,IM,2,40210,12
As35378,13.872266,104.790449,,,,,Asia,Cambodia,Preah Vihear,IM,2,40202,13
As35518,13.320241,104.441305,,,,,Asia,Cambodia,Siem Reap,IM,2,40210,13
As35048,13.461287,102.838051,,,,,Asia,Cambodia,Banteay Meanchey,IM,2,40202,13
As35542,13.202352,104.136574,,,,,Asia,Cambodia,Siem Reap,IM,2,40202,13
As35310,12.887636,107.035781,,,,,Asia,Cambodia,Mondul Kiri,IM,2,40202,12
As35455,12.098515,103.310318,,,,,Asia,Cambodia,Pursat,IM,1,40106,11
As35461,12.778544,103.951291,,,,,Asia,Cambodia,Pursat,IM,1,40164,13
As35203,12.577485,104.516139,,,,,Asia,Cambodia,Kampong Thom,IM,1,40164,13
As35428,12.459287,104.2136,,,,,Asia,Cambodia,Pursat,IM,1,40106,13
As35088,13.254912,103.554649,,,,,Asia,Cambodia,Battambang,IM,1,40164,13
As35374,14.002463,104.951599,,,,,Asia,Cambodia,Preah Vihear,IM,2,40202,13
As35054,13.327251,102.680645,,,,,Asia,Cambodia,Battambang,IM,2,40202,13
As36868,16.107796,106.992211,,,,,Asia,Lao People's Democratic Republic,Salavan,IM,1,40152,16
As36899,16.762216,106.313765,,,,,Asia,Lao People's Democratic Republic,Savannakhet,IM,1,40136,11
As36951,16.208807,106.094836,,,,,Asia,Lao People's Democratic Republic,Savannakhet,IM,2,40202,11
As32868,21.468023,102.91396,,,,,Asia,Lao People's Democratic Republic,Phongsali,IM,1,40137,16
As32893,19.767657,100.875664,,,,,Asia,Lao People's Democratic Republic,Xaignabouli,IM,1,40137,12
As32670,19.779733,102.918866,,,,,Asia,Lao People's Democratic Republic,Louangphabang,IM,1,40121,16
As36993,15.461251,106.307694,,,,,Asia,Lao People's Democratic Republic,Xekong,IM,1,40152,12
As32680,19.552604,102.114646,,,,,Asia,Lao People's Democratic Republic,Louangphabang,IM,1,40121,11
As37108,18.282808,102.014303,,,,,Asia,Lao People's Democratic Republic,Vientiane,IM,1,40121,12
As37148,18.240537,102.62891,,,,,Asia,Lao People's Democratic Republic,Vientiane,IM,1,40138,12
As37005,15.303391,107.642027,,,,,Asia,Lao People's Democratic Republic,Xekong,IM,1,40152,16
As36768,15.014291,106.404244,,,,,Asia,Lao People's Democratic Republic,Champasak,IM,1,40152,11
As36773,18.078654,104.622011,,,,,Asia,Lao People's Democratic Republic,Khammouan,IM,1,40136,11
As36961,19.009205,101.759772,,,,,Asia,Lao People's Democratic Republic,Xaignabouli,IM,1,40121,12
As37028,18.087827,102.770302,,,,,Asia,Lao People's Democratic Republic,Vientiane capital,IM,1,40138,12
As36883,16.66828,105.845099,,,,,Asia,Lao People's Democratic Republic,Savannakhet,IM,1,40136,12
As36942,16.240726,105.79529,,,,,Asia,Lao People's Democratic Republic,Savannakhet,IM,2,40202,12
As32686,21.050105,102.87558,,,,,Asia,Lao People's Democratic Republic,Louangphabang,IM,1,40137,13
As32758,21.168266,100.970824,,,,,Asia,Lao People's Democratic Republic,Louang-Namtha,IM,1,40137,16
As32697,20.80353,102.376031,,,,,Asia,Lao People's Democratic Republic,Louangphabang,IM,1,40137,12
As36723,14.615864,106.058417,,,,,Asia,Lao People's Democratic Republic,Champasak,IM,2,40210,12
As36996,15.321802,107.49399,,,,,Asia,Lao People's Democratic Republic,Xekong,IM,1,40152,12
As36939,16.367501,105.961867,,,,,Asia,Lao People's Democratic Republic,Savannakhet,IM,2,40202,12
As36923,16.459382,105.060974,,,,,Asia,Lao People's Democratic Republic,Savannakhet,IM,2,40202,13
As36700,14.370278,106.922988,,,,,Asia,Lao People's Democratic Republic,Attapu,IM,2,40210,12
As32599,20.153077,103.584373,,,,,Asia,Lao People's Democratic Republic,Houaphan,IM,1,40137,12
As32829,21.511143,102.276562,,,,,Asia,Lao People's Democratic Republic,Phongsali,IM,1,40137,13
As43852,8.311807,99.801452,,,,,Asia,Thailand,Nakhon Si Thammarat,IM,1,40163,11
As37909,16.461919,101.422089,,,,,Asia,Thailand,Phetchabun,IM,1,40121,12
As43891,6.712153,101.104555,,,,,Asia,Thailand,Pattani,IM,1,40146,11
As37835,18.7811,100.810835,,,,,Asia,Thailand,Nan,IM,1,40139,12
As38272,14.597207,103.227835,,,,,Asia,Thailand,Surin,IM,2,40202,13
As37822,19.046296,101.139523,,,,,Asia,Thailand,Nan,IM,1,40121,11
As38304,17.171868,98.574864,,,,,Asia,Thailand,Tak,IM,1,40119,12
As38392,15.815022,104.237953,,,,,Asia,Thailand,Yasothon,IM,2,40202,13
As37502,13.829724,99.186288,,,,,Asia,Thailand,Kanchanaburi,IM,1,40163,13
As37331,18.315085,98.465659,,,,,Asia,Thailand,Chiang Mai,IM,1,40119,12
As38240,14.832119,99.527308,,,,,Asia,Thailand,Suphanburi,IM,1,40119,13
As37931,15.610551,101.214009,,,,,Asia,Thailand,Phetchabun,IM,2,40202,13
As38370,17.939507,100.603124,,,,,Asia,Thailand,Uttaradit,IM,1,40139,12
As38041,12.348797,99.558571,,,,,Asia,Thailand,Prachuap Khilikhan,IM,1,40163,11
As37919,16.211181,100.800949,,,,,Asia,Thailand,Phetchabun,IM,2,40202,13
As44052,7.245178,99.892,,,,,Asia,Thailand,Trang,IM,1,40163,11
As38571,17.769702,103.204396,,,,,Asia,Thailand,Udon Thani,IM,2,40202,11
As37468,15.012738,98.642373,,,,,Asia,Thailand,Kanchanaburi,IM,1,40119,13
As44053,7.093223,99.885149,,,,,Asia,Thailand,Trang,IM,1,40163,11
As38441,13.973382,101.846167,,,,,Asia,Thailand,Phachinburi,IM,2,40202,11
As37863,18.336166,103.25584,,,,,Asia,Thailand,Nong Khai,IM,1,40138,11
As43857,8.168239,99.655796,,,,,Asia,Thailand,Nakhon Si Thammarat,IM,1,40163,11
As37432,14.535917,99.661562,,,,,Asia,Thailand,Kanchanaburi,IM,2,40202,13
As33135,17.805468,100.441329,,,,,Asia,Thailand,Uttaradit,IM,1,40139,13
As37846,18.356688,100.783487,,,,,Asia,Thailand,Nan,IM,1,40139,12
As37536,16.093697,102.603859,,,,,Asia,Thailand,Khon Kaen,IM,2,40202,13
As33029,19.532689,99.920962,,,,,Asia,Thailand,Chiang Rai,IM,2,40202,12
As38524,14.739118,104.878998,,,,,Asia,Thailand,Ubon Ratchathani,IM,2,40202,13
As38570,16.892554,103.430965,,,,,Asia,Thailand,Udon Thani,IM,2,40202,12
As37415,16.41524,99.603819,,,,,Asia,Thailand,Kampaeng Phet,IM,2,40202,13
As44070,6.082081,101.34293,,,,,Asia,Thailand,Yala,IM,1,40146,11
As33113,17.970151,99.98978,,,,,Asia,Thailand,Phrae,IM,1,40139,13
As38239,14.216773,100.237146,,,,,Asia,Thailand,Suphanburi,IM,1,40107,13
As33041,19.41197,99.44553,,,,,Asia,Thailand,Chiang Rai,IM,1,40119,12
As43954,6.773275,100.145663,,,,,Asia,Thailand,Satun,IM,1,40163,11
As38026,18.812783,100.191819,,,,,Asia,Thailand,Phrae,IM,2,40202,12
As43833,7.735271,99.221172,,,,,Asia,Thailand,Krabi,IM,14,41404,11
As38573,17.615835,103.344093,,,,,Asia,Thailand,Udon Thani,IM,2,40202,11
As37290,12.766025,102.345341,,,,,Asia,Thailand,Chanthaburi,IM,1,40106,11
As38397,15.514622,104.358784,,,,,Asia,Thailand,Yasothon,IM,2,40202,13
As33131,17.543664,99.966501,,,,,Asia,Thailand,Uttaradit,IM,2,40202,13
As37697,15.772688,103.029274,,,,,Asia,Thailand,Maha Sarakham,IM,2,40202,13
As37326,18.59339,98.631115,,,,,Asia,Thailand,Chiang Mai,IM,1,40119,12
As38063,13.366174,99.752178,,,,,Asia,Thailand,Ratchaburi,IM,1,40107,13
As37209,13.721572,101.239908,,,,,Asia,Thailand,Chachoengsao,IM,1,40107,13
As37535,16.104695,102.453795,,,,,Asia,Thailand,Khon Kaen,IM,2,40202,13
As44068,6.235007,101.35174,,,,,Asia,Thailand,Yala,IM,1,40146,11
As38411,17.247017,102.546179,,,,,Asia,Thailand,Nong Bua Lamphu,IM,1,40138,12
As38097,16.153701,103.666515,,,,,Asia,Thailand,Roi Et,IM,2,40202,13
