system:index,AssemblageMode,latitude,longitude,x,.geo
0_13065,0,22.59240482,94.37013164,4.02E-04,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.37013163770776,22.59240481677771]}"
0_6600,0,22.75517955,94.92744644,0.00264267,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.92744643998351,22.755179546260358]}"
0_5362,0,22.78401547,106.8029948,0.004686633,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.80299483315731,22.784015466880625]}"
0_5563,0,20.29334651,97.78328056,0.005941664,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.7832805597689,20.293346510127904]}"
0_5704,0,20.36988297,102.2730603,0.006962366,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.27306034986275,20.369882972334977]}"
0_8481,0,20.88030572,100.2461916,0.007757127,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.24619157427476,20.88030571677229]}"
0_1428,0,17.03839091,102.2248208,0.008425636,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.22482081910483,17.038390909645393]}"
0_7818,0,8.589466168,106.8948925,0.009284734,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.89489248672406,8.5894661679061]}"
0_171,0,16.34875427,98.75831197,0.009776057,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.75831196916623,16.348754266026027]}"
0_3386,0,15.34704289,106.8938145,0.009913182,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.8938145083831,15.347042892703167]}"
0_5284,0,21.90276817,96.70476323,0.010113616,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.70476322963951,21.902768173158336]}"
0_3719,0,22.01622539,94.01736323,0.01027226,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.01736322562896,22.01622539354277]}"
0_8454,0,16.71364993,102.264167,0.010798608,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.26416702854983,16.713649934435807]}"
0_12277,0,14.05993675,104.8464641,0.012712877,"{""geodesic"":true,""type"":""Point"",""coordinates"":[104.8464641443169,14.0599367536152]}"
0_9934,0,22.58620644,98.54244681,0.013563607,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.54244680638921,22.586206441317273]}"
0_7845,0,14.33185679,104.8893138,0.014096028,"{""geodesic"":true,""type"":""Point"",""coordinates"":[104.88931378337001,14.331856790118499]}"
0_10522,0,13.41234127,103.2782752,0.016648812,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.27827515280693,13.412341265292673]}"
0_13850,0,21.83916745,94.65229247,0.017011986,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.65229246845375,21.8391674510426]}"
0_3351,0,11.72395769,107.6036632,0.019621241,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.60366324590454,11.723957688788044]}"
0_3627,0,17.57441564,103.8805956,0.020099588,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.88059555081772,17.574415639680147]}"
0_6469,0,12.94611563,107.2702984,0.021790474,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.270298443963,12.946115632834092]}"
0_14009,0,24.60283442,95.07647695,0.021908573,"{""geodesic"":true,""type"":""Point"",""coordinates"":[95.07647694562108,24.602834422639567]}"
0_7394,0,8.480590355,106.5979095,0.022951991,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.59790945378988,8.480590355470685]}"
0_271,0,22.49403929,102.7743203,0.023304114,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.77432027840864,22.4940392931665]}"
0_14428,0,18.78633279,97.63236359,0.023903892,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.63236359203465,18.78633278948722]}"
0_5501,0,13.45680787,98.45189663,0.024382822,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.45189662574866,13.456807871856642]}"
0_6411,0,23.827768,97.79406034,0.024476542,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.79406034317849,23.82776799550033]}"
0_10911,0,8.817728082,106.8528513,0.026114053,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.85285133142666,8.817728081601143]}"
0_4895,0,10.15873314,114.2971003,0.027229222,"{""geodesic"":true,""type"":""Point"",""coordinates"":[114.29710025950364,10.158733137736345]}"
0_9285,0,15.65480571,105.7708306,0.028134614,"{""geodesic"":true,""type"":""Point"",""coordinates"":[105.77083057168916,15.654805709042877]}"
0_10465,0,16.85998549,98.22120926,0.029222939,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.22120926078345,16.859985494219046]}"
0_8647,0,20.50651673,96.9451524,0.029934093,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.94515239967335,20.50651672704972]}"
0_4414,0,21.0355346,98.34679374,0.030076937,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.34679373750517,21.035534597868327]}"
0_11568,0,19.15068947,97.15859211,0.031773113,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.15859211118321,19.150689468726526]}"
0_3742,0,20.93312666,107.4549022,0.03211131,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.45490223485221,20.93312665547858]}"
0_13624,0,19.87697738,100.4127392,0.03336626,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.41273922795291,19.87697737593802]}"
0_319,0,22.84572973,106.6965445,0.033465257,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.69654447198762,22.845729726899712]}"
0_11440,0,23.51596276,97.79163489,0.034441972,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.79163489191133,23.515962760382074]}"
0_2100,0,16.52689019,107.3837557,0.0347369,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.38375566434893,16.526890186867135]}"
0_4108,0,15.86177755,104.3985641,0.034978544,"{""geodesic"":true,""type"":""Point"",""coordinates"":[104.39856414364847,15.861777550504259]}"
0_1357,0,12.81487177,99.8667432,0.035008238,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.86674319825723,12.814871769824075]}"
0_8794,0,17.97272864,98.0896959,0.035063491,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.08969590318647,17.972728636659212]}"
0_4053,0,19.31049976,94.70241846,0.036186974,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.70241846130834,19.31049975777158]}"
0_14609,0,19.5126207,98.38640944,0.037534819,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.3864094415354,19.51262069669871]}"
