"latitude","longitude"
"10.803580336","106.644340841"
"10.9114988071","106.8248358"
"10.920492013","106.832649118"
"10.9519682337","106.793609904"
"10.9564648367","106.882253809"
"11.4376013536","105.280039874"
"11.6669281046","104.645347319"
"11.6894111194","104.846692238"
"11.6894111194","105.149753441"
"11.6984043253","104.592947325"
"11.738873752","104.989463268"
"11.7658533697","104.843583286"
"11.8108193994","104.810224308"
"11.9412208852","104.791459712"
"11.9412208852","104.855804551"
"12.0041733267","104.710144386"
"12.0986019889","108.6467329"
"12.2379966807","104.815762367"
"12.2469898866","104.580063681"
"12.3279287399","104.998875904"
"12.3414185488","104.640647036"
"12.3863845784","98.6783614026"
"12.5077928584","98.2777513678"
"13.3981202447","103.820602793"
"13.4970455098","100.797550711"
"13.5195285246","100.682184754"
"13.5689911572","100.430207796"
"13.6589232164","100.398979837"
"13.6769096283","100.355738462"
"13.7038892461","100.570898226"
"13.7398620697","100.553914046"
"13.7578484816","100.362572641"
"13.8028145112","100.613408122"
"13.8163043201","100.396962992"
"13.8837533645","100.504849208"
"13.9242227912","100.781857261"
"13.9556990119","100.387864434"
"14.0141548504","100.59875717"
"15.1832716203","105.328161156"
"15.2642104736","100.33474354"
"15.7003809609","108.412287774"
"15.7453469905","108.440914588"
"16.037626183","108.074504792"
"16.271449537","97.7237164753"
"16.2984291547","102.698442051"
"16.4693000673","103.215226589"
"16.4693000673","97.3868199394"
"16.4827898761","96.4651181909"
"16.5367491117","96.5295740414"
"16.5682253324","95.4757005069"
"16.6491641857","97.3088033199"
"16.6716472005","96.0669561214"
"16.6761438035","96.2100350465"
"16.7615792597","95.7459550547"
"16.8245317012","95.6884517699"
"16.8245317012","96.1112433518"
"16.8874841427","95.772003267"
"16.9054705545","96.0913160806"
"16.9279535693","95.712663522"
"16.9774162019","96.1092720324"
"16.9819128048","96.0739623129"
"17.0223822315","95.5351019462"
"17.1572803203","96.7290212937"
"17.2022463499","95.6274802985"
"17.2292259677","95.6131866483"
"17.2966750121","96.2792543259"
"17.3236546299","96.6466551533"
"17.3731172625","104.098111233"
"17.4135866891","95.6856218595"
"17.5709677928","96.1222389992"
"18.1690159866","102.494486777"
"18.7850505923","98.9972140666"
"18.8165268131","99.02998242"
"18.8524996367","99.2269983814"
"20.0575892304","97.429907192"
"20.1520178926","98.1209589096"
"20.2284601429","98.8975219185"
"20.2554397607","92.8850896341"
"20.2779227755","98.9769665612"
"20.2824193784","98.984630774"
"20.3093989962","92.8455029485"
"20.336378614","92.8712875396"
"20.3588616288","92.8848036192"
"20.3723514377","92.7682095934"
"20.4083242614","99.7513989684"
"20.4308072762","92.8418055729"
"20.4577868939","99.0203983343"
"20.4667800998","99.9717143224"
"20.5522155561","100.229188009"
"20.6376510124","98.8054418694"
"20.6421476153","98.3710997794"
"20.6916102479","100.239279587"
"20.7590592923","100.154101162"
"20.8939573812","100.566317807"
"20.9883860434","105.836011594"
"21.0423452789","92.5095056047"
"21.0828147055","99.2478086303"
"21.2042229855","92.5237194113"
"21.384087104","92.9219112017"
"21.6403934727","93.0278468994"
"21.8562304149","95.9486940243"
"21.8742168267","95.5731453709"
"21.8922032386","95.5803507888"
"21.8966998415","95.50582593"
"21.9236794593","95.6887182949"
"22.0855571659","92.7699647224"
"22.2249518577","96.0192764894"
"22.2294484607","95.988352465"
"22.3778363584","95.8958697158"
"23.3086331714","98.2827485446"
"23.5379599224","98.1639391905"
"8.04266611779","98.5513816434"
"8.37541473692","98.6612550033"
